ticker,moat,understandability,balance_sheet_health,marketcap,pe_ratio
VIPS,2,2,4,6.9B,6.5
CRUS,2,3,4,5.4B,17.2
VMI,2,3,4,6.7B,22.8
AXS,2,4,4,7.5B,12.5
MKSI,2,3,4,8.1B,261.1
AOS,3,2,4,10.4B,18.9
PR,2,2,4,12.9B,9.1
CCJ,2,2,4,22.5B,286.8
VFS,2,3,1,9.6B,
WBS,2,2,3,10.2B,13.5
TKR,2,3,4,5.4B,15.9
ACT,2,2,4,5.0B,7.6
TAP,2,3,4,11.4B,12.4
JCYGY,3,4,4,8.1B,7.7
LH,2,2,4,20.0B,45.3
MAT,2,2,4,6.0B,11.4
EXPE,2,2,3,24.0B,24.3
RVTY,3,3,4,14.4B,56.4
CHH,2,1,4,6.6B,27.2
OSK,3,3,4,6.2B,9.3
WTS,2,3,4,6.9B,24.9
PODD,3.5,4,3,19.3B,47.0
BNT,2,4,3,9.9B,5.6
MTH,2,2,3,5.8B,7.3
BEKE,3,3,3,20.5B,35.6
CNM,3,1,4,11.0B,25.8
TS,3,2,4,21.2B,8.4
FR,3,2,4,6.9B,21.9
SN,2,3,3,15.3B,42.9
VVV,3,3,4,4.6B,22.2
BEN,2,3,4,10.2B,23.0
STRL,2,3,4,5.6B,30.9
KRC,2,3,4,4.6B,23.3
CBOE,3,3,5,20.4B,26.5
BPYPP,2,4,3,9.8B,6.7
NVMI,3,4,4,7.1B,45.9
SITE,2,2,3,6.4B,45.9
DSGX,3,2,4,9.9B,73.3
PFSI,2,3,3,5.5B,33.9
PTBRY,3,3,4,10.5B,7.9
UUGRY,2,1,3,8.3B,59.3
FND,2,2,4,10.7B,55.4
SEIC,3,3,4,10.8B,20.1
DAY,2,2,3,11.0B,204.8
ABG,2,2,3,4.8B,13.7
H,2,3,4,15.0B,11.7
BZLFY,3,2,4,13.8B,23.8
SMBMY,1,2,3,5.6B,
NSA,3,2,3,5.4B,21.0
WWD,2,3,4,11.2B,31.5
UFPI,3,3,4,7.1B,16.1
EXAS,2,2,4,9.6B,
RCI,3,3,3,15.6B,14.3
ALGN,3,3,4,16.7B,38.3
DRS,3,2,3,9.4B,48.1
UWMC,1,3,3,9.9B,
FMS,2,4,3,13.6B,19.9
EDR,2,3,3,9.6B,
KEP,2,4,2,9.2B,3.6
ERJ,2,3,3,7.3B,14.5
IDKOY,2,4,4,8.8B,8.3
CWST,2,2,3,7.1B,1013.5
CALM,3,2,4,5.6B,8.8
TXRH,3,2,4,11.9B,30.7
CYTK,2,4,3,5.4B,
HLI,3,4,5,12.7B,37.1
PSTG,2.5,3,4,21.6B,170.0
SPXSY,2,4,4,6.5B,27.7
DDS,2,2,3,7.4B,12.0
FLS,3,3,4,8.3B,31.3
DAR,3,3,4,5.8B,22.6
SHAK,2,2,3,4.9B,577.0
PEGA,2,4,4,8.9B,73.8
EXP,3,2,4,8.6B,18.2
JBL,2.5,3,3,17.8B,15.4
NTNX,2,3,3,17.5B,
ITRI,3,3,4,4.8B,21.6
MIDD,4,3,4,7.6B,19.6
ONB,2,2,3,7.8B,13.9
MC,3,3,4,5.5B,145.9
IONQ,1,3,3,8.4B,
AGNC,1,2,3,8.5B,6.4
CAE,2,3,4,7.7B,
PATH,3,2,4,7.2B,
OMF,2,3,3,6.5B,12.0
CX,3,2,3,7.8B,26.8
MOD,2,3,4,7.0B,43.7
VERX,2,2,3,8.8B,296.8
TX,3,3,4,5.7B,72.3
CLF,3,2,3,5.1B,
DY,2,3,4,5.6B,25.1
TENB,3,4,4,4.9B,
CIG,3,4,3,5.6B,5.0
FE,2,3,3,23.0B,25.7
CUYTY,2,2,3,4.8B,13.2
LECO,3,2,4,11.0B,23.2
BBD,3,4,3,19.5B,9.3
TTC,2,2,3,8.4B,20.8
TIMB,2,3,4,5.9B,11.2
BRBR,3,2,4,9.3B,38.9
ILMN,3,4,3,21.7B,
L,2,3,4,18.7B,11.5
OC,3,2,4,15.7B,15.5
EDPFY,3,2,4,13.5B,12.1
MDB,3,3,4,20.3B,
INGR,3,3,4,8.8B,13.2
MAC,1.5,1,1,5.1B,55.0
DVN,2,2,4,24.9B,7.0
SKLTY,1,3,3,4.9B,
PUK,2,4,3,21.2B,24.8
CBSH,3,2,4,8.7B,17.7
ALSN,3,2,4,10.4B,14.6
MORN,3.5,3,5,14.0B,43.1
DJT,1,1,2,8.7B,
RNR,3,4,5,13.4B,3.6
COHR,1,3,2,15.2B,
MNSO,2,3,3.5,7.6B,24.0
LKNCY,2,3,4,7.3B,25.6
NWSA,2,3,4,16.1B,44.2
PSN,3,4,4,10.1B,136.0
LBRDA,1.5,4,4,10.9B,13.9
PEN,2,3,4,10.1B,303.1
SQM,3,3,4,11.0B,
BCPC,3,3,4,5.2B,42.9
SFM,2,2,4,13.9B,40.4
GFL,3,3,2,16.5B,
UELMO,3,2,4,6.4B,12.3
FHN,2,3,3,11.3B,15.9
VNOM,2,3,4,9.7B,22.0
AMCR,2,2,4,14.0B,18.3
TLX,2,3,4,5.6B,167.8
WMG,3,3,3,15.7B,36.4
BRFS,3,3,3,6.1B,10.1
KB,2,4,4,22.9B,7.7
LEGN,2,3,4,6.0B,
MTG,2,2,4,6.2B,8.6
ELAN,3,2,3,5.9B,29.3
ZG,2.5,3,4,18.4B,
BAX,3,4,4,15.8B,123.9
BSY,3,2,4,13.7B,40.9
BRX,3,2,3,7.9B,24.4
HLNE,3,2,4,8.3B,32.6
CE,2,2,3,7.9B,7.2
SMTC,2,3,3,6.5B,
RBRK,2,3,4,12.6B,
JOBY,2,3,3,6.3B,
YPF,3,3,2,19.1B,21.6
WAY,3,3,2,6.4B,
ONTO,2,3,4,10.7B,58.5
ALTR,3,3,4,9.4B,276.0
QFIN,1,3,4,6.0B,8.0
SLV,1,1,5,,
PJT,2,4,5,6.3B,39.9
MMSI,2.5,3,4,6.0B,50.2
RGLD,2,3,4,9.1B,31.8
JXN,1,3,4,6.8B,
EBR,2,4,3,13.1B,7.9
SUM,1,2,3,9.2B,61.4
KBH,2,1,4,4.9B,8.0
MTCH,3,3,4,8.2B,14.7
NDEKY,3,4,4,12.0B,17.1
PSO,2,3,4,10.5B,25.8
RPM,3,2,4,16.3B,25.0
UMBF,1,2,4,5.8B,14.9
CORT,2,3,4,5.8B,43.9
HAS,2,2,3,8.0B,
PFGC,2,2,3,13.7B,32.4
GAP,2,2,3,8.8B,10.9
MYTHY,2,4,3,4.9B,7.4
MRNA,2,3,5,13.1B,
ROKU,2,2,4,11.0B,
OMC,3,2,3,16.8B,11.7
APPF,3,2,4,9.2B,70.0
WEX,3,4,4,7.3B,23.4
ITCI,2,3,3,13.4B,
NDSN,3,3,4,12.4B,26.7
AA,2,3,3,10.2B,
BWA,2.5,3,4,7.1B,8.0
FOXA,2,2,4,21.4B,11.7
MEJHY,2,3,4,5.4B,17.3
BE,2,4,2,5.5B,
BCE,3,3,3,21.2B,385.8
U,2.5,3,4,8.8B,
AEG,2,4,3,10.4B,
CRRFY,3,3,2,8.9B,11.4
STLD,2,1,4,19.2B,11.3
WY,2,2,3,21.9B,41.4
APG,2,3,4,10.4B,
GTES,2,3,3,5.2B,24.7
MTZ,2,3,3,12.3B,137.2
SAIA,2.5,2,4,12.9B,34.7
GBCI,2,2,4,5.8B,31.6
STAG,2,2,4,6.3B,34.3
FLEX,3,4,4,16.6B,20.5
CIB,2,3,4,8.0B,5.5
ENPH,3,2,3,8.6B,138.5
ADC,3,1,5,7.9B,40.0
BCUCY,3,3,3,8.1B,69.5
HOMB,2,2,4,6.0B,15.1
POOL,3,2,4,13.3B,30.0
MASI,3,4,4,9.2B,118.8
SUI,3,2,4,16.7B,67.7
EVR,2,3,4,10.8B,36.2
WTRG,3,2,4,9.6B,17.6
ESS,2,2,3,18.9B,33.1
YUMC,3,2,4,16.8B,19.7
NJDCY,2.5,2,3,20.6B,29.8
SNN,3,2,4,11.0B,36.1
WTFC,2,3,4,9.0B,14.2
ACIW,2,4,3,5.6B,25.5
FNV,4,3,5,24.6B,
FTI,2,4,3,13.9B,21.6
GPI,2,2,4,6.0B,11.9
MAIN,2,3,4,5.3B,10.9
DINO,2,3,3,6.8B,21.0
CTLT,2,3,2,11.5B,
GFI,2,2,3,13.7B,21.5
SRPT,3,4,3,11.3B,76.1
SON,2.5,2,3,4.7B,16.4
MTSI,2,3,4,10.8B,138.5
RPRX,3,4,4,18.1B,12.1
HII,2,3,3,7.9B,11.4
FRT,3,3,4,9.0B,30.6
CYBR,3,4,5,17.4B,1100.7
FLR,2,4,3,8.6B,34.8
SNV,2,2,4,7.7B,18.0
SCI,3,2,4,11.1B,22.4
HXL,3,3,4,5.4B,50.6
GXO,2,3,4,5.3B,49.4
TME,3,2,4,18.2B,20.7
CMC,2,2,4,5.8B,45.6
WBA,2,2,2,10.8B,
AFG,2,4,4,11.3B,12.7
OGE,3,2,4,8.6B,22.1
BBY,2,2,3,17.5B,14.0
CF,3,3,4,16.9B,15.4
BECN,2,2,3,7.2B,19.8
ANF,2,2,3,6.6B,12.9
FG,2,3,4,5.5B,
CNX,2,2,4,4.5B,9.8
LDOS,3,4,4,20.7B,17.7
UMC,3,3,4,16.3B,10.1
NLY,1,2,3,10.8B,
UPST,2,3,4,5.7B,
PLNT,3,1,4,8.8B,56.2
MAA,3,2,4,18.1B,33.9
BZZUY,2,3,4,7.1B,7.3
KVYO,2,2,4,10.8B,
BILI,2.5,3,3,7.3B,
EC,2,3,4,17.4B,4.4
LEA,2,3,4,5.1B,9.9
LSTR,3,2,3,6.2B,29.8
CHWY,3,2,4,15.1B,40.2
MKC,3,1,3,19.7B,24.9
WFG,1,3,4,7.2B,
TPX,3,3,4,10.3B,27.2
EXEL,2,3,4,10.3B,23.4
TRMB,2.5,3,4,18.4B,12.5
FCN,3,2,4,6.8B,21.9
AZEK,2,2,3,7.2B,48.0
SIGI,3,3,4,5.7B,25.1
EGP,2.5,2,3.5,8.0B,33.3
FSS,3,3,4,5.9B,28.2
IDCC,3,3,4,4.4B,18.5
FDS,3,3,4,17.6B,33.1
IHICY,2,3,3,8.4B,10.3
PAM,2,4,3,5.3B,8.5
RTO,3,3,3,12.0B,25.1
QXO,2,3,2,5.7B,24.5
SUN,2,3,3,7.4B,14.0
EQH,2,4,3,16.2B,
STN,2,2,4,8.8B,36.4
SFBS,3,2,4,4.9B,23.8
OLLI,1,1,4,6.5B,31.8
FSK,1.5,3,3,6.2B,11.8
SLM,1,3,3,5.9B,9.6
RRR,2,2,3,4.8B,17.2
AVTR,3,3,4,15.0B,49.1
HRI,2,2,4,5.8B,16.8
IEP,2,4,2,4.7B,
HIMS,2,2,3,6.1B,63.3
JBAXY,2,3,4,13.6B,33.0
LNC,2,3,3,5.6B,23.2
ACA,2,3,4,4.8B,37.2
TFX,2,2,4,8.4B,36.0
ASND,2,3,4,7.7B,
LEVI,2,1,3,6.9B,45.7
ALB,3,3,4,11.5B,
NSIT,2,3,4,5.3B,20.9
NRG,2,3,3,21.2B,25.9
WDC,2,3,3,22.5B,71.5
WSC,3,3,4,6.8B,305.3
THC,2,3,3,12.4B,4.1
BFAM,2,2,4,6.8B,58.8
CHE,2.5,3,4,8.3B,28.0
GLPI,2,2,3,13.2B,16.8
WF,2,4,4,8.0B,4.5
EG,3,3,4,15.6B,5.7
CEF,1,1,5,5.0B,3.3
TREX,3,2,4,7.7B,32.7
BZ,2,3,4,6.2B,33.4
J,3,4,4,17.3B,29.1
KNSL,3,3,4,10.2B,24.9
ROIV,2,3,3,8.1B,2.0
INSP,3,3,4,5.3B,161.5
BRKR,3,2,4,8.6B,27.5
OKTA,3,3,4,15.0B,
BIRK,3.5,2,3.5,11.3B,57.1
PNFP,2,3,4,9.3B,22.9
BMA,2,4,4,7.4B,14.8
MANH,3,2,5,16.7B,78.1
HESM,1,2,4,9.0B,17.5
AMKR,2,4,4,6.4B,17.5
FRSH,2,3,4,5.3B,
CWEN,2,3,3,5.2B,25.6
ESAB,3,2,3,7.5B,27.8
HCP,2,3,4,7.0B,
MTDR,2,3,4,8.0B,8.4
SYM,3,4,4,17.5B,
ERIE,2,3,4,21.2B,37.9
ROL,3,2,4,23.5B,49.9
COLM,2,1,4,4.8B,23.4
FFIV,3,3,4,15.5B,27.6
IRT,2,2,3,4.4B,inf
RDN,1,3,4,4.9B,8.5
NBIX,3,3,4,14.5B,38.2
DRI,2,1,3,21.3B,20.8
PNR,3,2,3,17.0B,25.8
TOST,2,3,3,21.5B,
FRPT,2,2,3,7.6B,176.4
BOKF,2,3,4,7.2B,15.5
TWLO,2,3,3,17.2B,
MMYT,2,3,3,11.7B,56.2
EMN,2,3,4,10.8B,12.5
KIM,3,3,4,15.0B,41.3
FFIN,2,2,4,5.3B,25.5
ALTM,3,3,4,6.2B,31.8
SIRI,2,2,4,7.6B,
ALKS,2,3,4,4.8B,12.9
GEN,2,3,4,17.0B,27.8
RHI,3,2,4,7.3B,25.8
THG,2,3,3,5.6B,15.5
WIX,3,3,4,13.2B,151.5
IONS,2,4,3,5.0B,
NNGRY,1.5,3,4,12.0B,10.3
CHRD,1,3,4,7.7B,6.5
VOD,2,3,3,21.6B,9.4
CPB,2,1,3,11.6B,21.3
R,3,2,3,7.0B,15.5
BROS,2,1,3,9.2B,199.0
KD,2,3,2,8.9B,
WPC,3,3,4,12.2B,22.1
TKC,2,4,4,6.1B,8.4
NFG,2,2,3,6.2B,81.3
CLX,2,1,4,19.8B,55.5
DG,3,1,3,15.1B,11.3
STWD,2,3,3,6.7B,16.4
UHAL,3,3,3,12.4B,31.6
ASX,3,4,4,22.8B,21.0
SBAC,4,2,4,21.9B,32.2
LAD,2,3,3,9.4B,12.0
CAG,2,2,3,12.3B,25.1
AVY,3,2,4,15.4B,23.0
RMBS,3,4,5,6.6B,38.5
AMG,2,3,4,5.7B,12.2
RF,2,2,3,22.0B,13.7
CHX,3,3,4,5.9B,19.3
SAIC,2,2,3,5.7B,19.5
HOLX,3,3,4,15.7B,21.0
BILL,2,3,4,9.2B,1270.0
POST,2,3,3,6.3B,19.1
WCC,2,3,3,9.4B,15.4
LPX,2,3,4,8.1B,19.8
BYD,2,2,3,6.6B,14.2
CUZ,2,2,3,5.1B,90.1
ICLR,2,3,4,16.4B,22.0
MGA,2,3,4,11.6B,10.8
EJPRY,1,2,4,19.1B,13.6
TDY,3,4,4,22.1B,24.0
VLY,2,2,3,5.4B,15.5
AAON,3,3,4,10.6B,57.1
PVH,2,2,3,5.2B,7.6
AMTM,2,3,3,5.5B,
PDI,3,3,4,6.6B,9.7
RLI,3,2,5,7.1B,17.1
ONON,3,2,4,18.7B,134.8
LCID,2,4,4,9.2B,
JLL,2,3,4,12.4B,26.5
IBP,2,2,3,5.5B,21.8
TTAN,3,3,4,8.8B,
SKM,2,4,4,8.2B,10.8
GPK,2.5,2,3.5,8.4B,11.9
FSV,3,3,4,8.2B,75.7
WLMIY,3,2,4,14.6B,9.4
RHP,2,2,3,6.2B,17.7
NTRA,2,4,3,20.9B,
ESI,2,4,3,6.3B,23.8
COOP,2,2,4,6.6B,13.3
QRVO,3,3,4,8.0B,
HST,2,2,4,12.1B,16.6
CCCS,2,4,4,7.4B,160.0
VTRS,2,3,3,13.5B,
SITM,2,3,4,5.9B,
SBS,2,4,3,10.5B,16.8
ULTA,3,2,4,18.8B,16.2
SJM,3,2,4,10.9B,20.6
FTS,3,2,4,20.9B,18.7
DKS,3,2,4,18.6B,16.3
CWAN,3,3,4,7.0B,inf
MOG-A,3,2,3,7.0B,32.6
DTM,2,2,4,11.4B,27.4
QGEN,3,3,4,10.2B,102.2
PRI,2,2,4,9.7B,14.6
HRL,3,2,4,16.4B,20.4
CINF,2,3,4,22.0B,7.2
INGM,2,3,4,5.1B,16.2
PCOR,2,3,4,11.4B,
CMA,2,2,4,8.7B,16.5
PB,3,2,4,7.5B,16.8
RYAN,2,3,4,17.4B,86.5
BCC,2,2,4,4.9B,12.5
S,2,3,4,7.2B,
INVH,2,2,4,19.2B,43.5
VFC,2,2,2,9.2B,
SF,2,3,4,11.7B,20.6
CG,1,4,3,19.8B,184.1
LFUS,2.5,3,4,5.8B,29.9
CFG,2,3,4,20.9B,18.6
GTLS,2,3,4,9.2B,61.0
DIDIY,2,4,3,22.8B,156.7
VKTX,1,3,3,3.6B,
WRB,3,2,4,22.7B,15.3
CRNX,2,3,3,3.5B,
AIZ,2,4,3,10.9B,15.1
MSA,2,2,4,6.4B,23.7
ADOOY,4,3,4,4.7B,2.9
MKTX,3,3,4,8.3B,29.8
CRC,2,3,2,4.9B,7.6
APA,2,3,4,9.0B,3.5
URBN,2,3,4,5.1B,15.8
BPOP,1,3,4,7.1B,13.5
ICL,2,3,3,7.6B,19.1
CART,2.5,3,4,11.9B,4.4
EDU,2,2,4,9.9B,26.5
EAT,2.5,2,3,6.4B,35.3
RKLB,2,3,3,10.8B,
CVLT,3,3,4,7.1B,40.9
LANC,3,2,4,4.7B,29.6
GRAB,2,3,2,18.1B,
TTEK,2,3,4,11.4B,34.6
ITT,2,2,4,12.3B,25.8
PRMB,2,4,3,12.4B,86.3
CSXXY,4,4,4,8.9B,55.5
DCI,3,2,4,8.5B,20.7
AZPN,3,3,4,15.9B,
FSLR,3,2,4,20.6B,16.6
GIL,2,2,4,7.7B,19.8
ESTC,3,2,4,10.4B,167.3
ELS,3,3,4,13.3B,34.1
CACI,3,3,4,10.1B,22.4
SWK,2,2,3,13.0B,
KBR,2,3,4,7.9B,25.2
PNW,2,2,3,9.9B,16.3
EXLS,3,3,4,7.6B,41.4
INSM,2,3,2,13.0B,
CNA,2,3,3,13.2B,10.2
PAAS,2,3,4,7.9B,
JAZZ,2,4,4,7.3B,17.2
YAHOY,2,2,4,19.4B,30.2
CGNX,3,4,4,6.8B,77.9
TGTX,1,3,2,4.6B,
ARE,3,2,4,17.8B,62.1
BLD,3,2,4,10.2B,17.5
CROX,2,2,4,5.8B,7.3
ARCC,2,4,3,15.5B,8.9
W,2,2,2,5.6B,
BG,3,3,3,11.1B,10.1
FIVE,2,1,4,5.0B,18.8
SRAD,2,3,4,6.0B,154.2
HSIC,3,3,4,9.1B,30.0
KNF,2,3,4,5.9B,29.9
IFF,3,3,3,21.7B,
OTEX,3,3,4,7.4B,16.1
PAG,2,2,3,10.7B,12.3
SWX,2,2,3,5.2B,28.9
FTAI,2,3,3,11.5B,
PAYC,3,3,4,12.1B,25.2
BGNE,2,4,4,20.2B,
ARMK,2,2,3,10.4B,39.6
TOL,2,2,4,13.5B,9.0
LUV,2,2,3,19.3B,
TPR,2,2,3,16.6B,20.7
UNM,3,2,4,13.7B,8.1
CPT,2,2,4,12.0B,35.4
BAH,2,3,4,17.4B,21.4
WH,3,2,3,8.0B,32.7
USO,1,2,2,,25.0
AMH,2,2,3,14.8B,36.7
NEU,3,3,4,4.7B,11.0
BIIB,2,4,4,20.5B,12.7
YMM,2,3,4,11.8B,29.6
GNTX,3,3,4,6.4B,14.8
TSN,2,2,3,19.8B,24.8
NVT,3,3,4,11.9B,21.1
LW,3,2,4,8.6B,23.7
DOCS,3,2,5,10.0B,61.7
MOH,3,3,4,16.4B,14.6
CSWI,3,3,4,6.6B,53.2
PARA,2,3,3,7.4B,
OS,3,3,5,6.7B,
AGR,2,3,3,13.9B,12.4
TXT,2,3,4,14.7B,17.3
MAS,2.5,2,4,16.9B,20.8
BAP,2.5,3,4,14.5B,10.7
HTHT,2,3,3,10.0B,19.9
APTV,2,3,4,14.4B,6.8
BERY,2,2,2,7.8B,15.4
SLG,2,3,2,4.7B,
RRX,2,3,4,10.4B,49.5
JPXGY,3,4,4,11.1B,28.1
SPSC,3,2,4,7.2B,91.8
UBSI,2,3,4,5.5B,14.5
KOF,4,2,4,16.0B,71.2
TMHC,2,2,3,6.8B,8.7
BWXT,3,2,4,11.2B,40.5
KEX,2.5,2,4,6.4B,21.5
PAC,2,3,4,9.5B,22.7
SSMXY,2,3,2,11.7B,33.9
PINS,2,2,4,20.6B,95.4
MUSA,2,2,4,9.6B,19.7
MBLY,3,3,4,13.0B,
STX,3,3,4,20.7B,25.2
WAT,3,2,4,24.0B,38.6
AER,3,2,3,18.2B,7.7
HR,2,2,3,5.9B,
CZR,2,3,2,7.2B,
CRL,3,4,4,8.4B,20.4
BPMC,2,3,3,7.0B,
STVN,2,3,4,6.2B,51.9
WLK,2,2,4,15.2B,163.8
BSAC,3,3,4,9.0B,10.6
SARO,3,3,4,8.2B,410.7
SMAR,3,2,4,7.9B,
WMS,3,1,4,9.7B,20.0
WHR,3,2,3,7.2B,12.8
SLGN,2,2,3,5.6B,19.1
MEDP,3,3,4,10.5B,29.5
CHDN,2,3,4,9.3B,22.8
ALSMY,2,3,2,9.7B,
VIRT,2,4,3,5.8B,18.5
VRSN,3,2,4,20.2B,24.4
X,2,4,4,8.1B,22.8
BCH,2,3,4,12.0B,8.4
ENLC,2,3,3,7.0B,69.7
WAL,2,3,3,9.9B,13.9
ZK,2,3,3,6.3B,
TER,3,3,5,22.5B,44.1
VIK,3,2,4,20.6B,
ASR,4,3,4,8.1B,13.5
KIKOY,2,3,4,10.2B,93.5
AL,3,2,3,5.2B,10.6
CSL,4,3,4,18.1B,21.5
MSGS,2,3,4,5.2B,74.1
SOFI,2,3,3,17.9B,137.5
GWRE,3,3,4,14.9B,469.9
SWKS,3,2,4,15.0B,25.4
CRVL,2,2,3,5.6B,69.3
ATO,3,2,4,22.6B,21.3
OBDC,2,4,2,7.6B,9.2
LNTH,2,2,4,6.4B,15.2
EMRAF,2,2,3,11.0B,24.4
SEE,3,2,3,5.0B,12.7
FMC,3,3,3,6.7B,4.4
BURL,2,1,4,18.4B,40.0
HMY,2,3,3,6.1B,13.6
RBA,2,2,3,16.5B,48.0
DOX,3,3,4,9.6B,20.0
RGEN,3,4,4,9.0B,
ZBRA,3,3,4,20.9B,55.3
NTRS,3,4,4,21.2B,13.3
KEY,2,3,3,20.2B,inf
REXR,3,2,4,9.0B,31.7
SSD,3,2,5,7.1B,22.3
SHWDY,3,2,4,4.8B,19.4
ALAB,2,4,3,21.1B,
CHRW,2,3,4,12.2B,35.8
MKL,3,3,4,22.8B,8.2
COO,3,2,4,18.6B,47.6
SMMT,1,3,2,14.0B,
AES,2,4,2,8.4B,8.2
RL,2,3,4,14.9B,22.9
CMS,2,1,4,20.3B,19.4
DT,3,3,4,15.3B,95.0
BKGFY,4,2,5,4.6B,10.1
AIT,2,3,4,9.9B,26.2
AU,2,3,4,13.7B,20.5
ORI,2,2,4,9.1B,10.3
MDGL,2,3,3,6.4B,
LNT,2,2,4,15.5B,23.6
AYI,3,2,3,10.2B,24.3
CIEN,2,3,4,12.0B,146.1
VNO,2,3,2,8.6B,
WPP,2,3,3,9.9B,39.6
SATS,2,3,3,7.7B,
EBCOY,3,2,4,8.2B,19.2
UI,2,4,4,24.6B,62.8
MLI,3,4,4,9.3B,16.0
UDR,2,2,4,15.5B,108.4
TECH,3,3,5,12.0B,79.8
CLS,2,3,4,13.2B,35.8
NIO,1,2,2,9.2B,
AM,2,3,3,7.9B,20.6
AKAM,2,3,4,13.7B,26.9
FOUR,3,2,3,10.3B,63.5
LOGI,3,3,4,13.2B,19.5
SSNC,3,4,4,19.4B,28.1
PFG,2,3,4,18.7B,
GGAL,2,3,3,11.1B,13.0
PKX,2,3,3,14.0B,17.7
VOYA,2,3,4,6.7B,11.0
GKOS,2,3,4,8.6B,
NBIS,2,2,4,8.5B,
KAIKY,2,3,4,8.7B,6.4
PHYS,1,1,5,17.4B,3.4
EME,3,2,4,23.3B,25.8
JHG,3,3,4,6.8B,16.9
MARA,1,3,3,6.8B,24.0
FNF,3,3,4,15.9B,21.1
ALLE,3,4,4,11.6B,20.5
RGA,3,3,4,14.7B,20.5
REYN,2,3,4,5.7B,15.5
IVZ,2,3,3,7.7B,
COLB,2,2,3,6.0B,12.3
EXE,1,3,4,24.6B,65.3
PPC,2,2,3,10.7B,10.9
ALLY,2,2,3,11.3B,14.8
RDY,3,3,4,12.5B,19.6
SHG,2,3,4,17.4B,5.8
BEP,3,3,4,13.6B,
VIV,2,3,4,13.2B,14.9
SOLV,2,2,3,12.7B,193.4
CMS-PB,2,2,3,6.6B,7.3
LKQ,2,2,3,10.0B,14.2
CELH,3,2,3.5,6.4B,37.8
NNN,3,2,4,7.5B,18.6
ATR,3,3,4,10.4B,31.3
XPEV,2,3,3,13.7B,
CNS,2,3,4,4.5B,32.9
ZBH,2,3,4,21.8B,20.9
WTM,3,4,5,4.8B,7.3
NOV,2.5,3,4,6.1B,5.8
USFD,2,3,3,15.9B,29.3
CBT,2,3,4,5.0B,13.6
SNAP,2,2,3,18.2B,
WFRD,1,3,2,5.4B,10.3
ARW,2,3,4,6.1B,13.0
BF-A,3,2,4,16.2B,16.0
RH,3,3,4,8.3B,123.5
QTWO,2,3,4,5.7B,
OZK,2,2,4,5.6B,8.2
AI,3,4,4,4.1B,
CHKP,3,3,5,20.7B,25.7
CJPRY,3,3,4,17.5B,6.5
XPO,2,3,3,16.0B,44.7
SGIOY,2,2,4,12.2B,12.1
TU,3,3,3,20.9B,31.7
RVMD,2,3,4,7.4B,
FUTU,3,3,4,12.1B,21.5
GMAB,3,3,4,13.2B,20.8
TFII,3,3,4,11.4B,24.4
GL,2,2,4,9.9B,10.0
AFRM,2,4,2,18.0B,
AUR,2,4,3,11.7B,
MTN,3,2,3,6.6B,29.2
LINE,2,3,4,14.7B,
BIO,2.5,3,4,9.6B,
NMR,2,4,3,18.0B,10.5
COTY,2,2,3,6.2B,39.7
HWC,2,2,3,5.1B,13.3
BXSL,2,3,3,7.1B,9.1
DUFRY,2,3,2,6.3B,42.3
HRB,3,2,4,7.6B,13.7
STE,2.5,3,3.5,20.7B,35.2
FNB,2,2,4,5.6B,14.3
DPZ,2.5,2,4,14.8B,26.2
IPG,3,2,4,10.4B,13.1
OLED,3,4,4,7.1B,30.0
NOVT,3,4,4,5.4B,90.1
CACC,2,3,3,5.9B,32.5
RITM,1,3,3,5.9B,11.6
